id,movie_id,character_name,actor_name,scene_description,theme_day,occasion_type,difficulty_level,colors,fabrics,accessories,styling_tips,image_url
COS026,MOV013,David Ninan,Mammootty,Corporate executive suit,Formal Wednesday,Business,Hard,Charcoal Grey,"Wool,Cotton","Luxury watch,Leather briefcase",High-powered business executive look,https://m.media-amazon.com/images/M/MV5BNDg3NjIxNzM2N15BMl5BanBnXkFtZTgwMzE1NzM2MzE@._V1_.jpg
COS027,MOV014,Stephen Nedumpally,Mohanlal,Political leader formal wear,Formal Wednesday,Political,Hard,"White,Cream","Cotton,Linen","Gold watch,Leather shoes",Authoritative political styling,https://m.media-amazon.com/images/M/MV5BNTUyNWJmYTMtOTgyYy00NGEzLWJlMzEtODdiY2I3YmQzN2NhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS028,MOV012,Fahadh,Fahadh Faasil,Diplomatic formal attire,Formal Wednesday,Diplomatic,Hard,"Dark Blue,White","Wool,Cotton",Formal accessories,International diplomatic styling,https://m.media-amazon.com/images/M/MV5BOGNlNTFhYjMtZTc3OS00ZjZjLWFjMjQtMDA2ZGRkZjZjOWY2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS029,MOV006,Dr. Annu,Parvathy Thiruvothu,Medical conference formal wear,Formal Wednesday,Conference,Medium,"Navy Blue,White",Cotton blend,Professional accessories,Medical professional conference look,https://m.media-amazon.com/images/M/MV5BN2E2NDAzODEtYmI2YS00NTY4LWI4YTYtNWJmMjFjN2E1YmVjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS030,MOV009,Faizi,Dulquer Salmaan,Creative chef's signature look,Movie Thursday,Creative,Medium,"Black,White","Cotton,Denim","Chef's hat,Apron",Artistic culinary professional style,https://m.media-amazon.com/images/M/MV5BMzAwNDQwMTk3N15BMl5BanBnXkFtZTgwMDc0MzM2MzE@._V1_.jpg
COS031,MOV010,Tessa,Parvathy Thiruvothu,Artistic filmmaker outfit,Movie Thursday,Creative,Medium,"Black,Grey","Cotton,Leather","Camera accessories,Scarf",Creative professional styling,https://m.media-amazon.com/images/M/MV5BMTg3NjI3MDY4N15BMl5BanBnXkFtZTgwNDU1MzY3MzE@._V1_.jpg
COS032,MOV011,Sarah,Rima Kallingal,Contemporary party dress,Movie Thursday,Party,Medium,Emerald Green,"Silk,Chiffon","Statement jewelry,Heels",Modern party glamour,https://m.media-amazon.com/images/M/MV5BZmI3NjIzNDMtNzhjZS00NWZmLWFjNDYtN2I3N2U4OGYzOGZlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS033,MOV013,Michelle,Sneha,Urban chic evening wear,Movie Thursday,Evening,Hard,"Black,Gold","Satin,Silk",Designer accessories,Sophisticated urban evening look,https://m.media-amazon.com/images/M/MV5BNDg3NjIxNzM2N15BMl5BanBnXkFtZTgwMzE1NzM2MzE@._V1_.jpg
COS034,MOV014,Priyadarshini,Manju Warrier,Power dressing corporate look,Formal Wednesday,Corporate Power,Hard,"Burgundy,Black","Wool,Silk",Power accessories,Strong professional woman styling,https://m.media-amazon.com/images/M/MV5BNTUyNWJmYTMtOTgyYy00NGEzLWJlMzEtODdiY2I3YmQzN2NhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS035,MOV017,Gafoor,Mohanlal,90s royal vintage look,Retro Friday,Royal,Hard,"Maroon,Gold","Silk,Brocade",Traditional accessories,Regal 90s period styling,https://m.media-amazon.com/images/M/MV5BODkyNTM1NjQtNDNjMC00YzBkLWE1NjYtOGZjNGU1YjEwYWM3XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS036,MOV018,Aadu Thoma,Mohanlal,95s rugged masculine wear,Retro Friday,Rugged,Medium,"Brown,Khaki","Cotton,Denim",Leather accessories,Strong masculine 90s styling,https://m.media-amazon.com/images/M/MV5BYjIzNzM2YWEtNDRhYS00MzI1LWE4NTMtNjMzZjU3MjU2N2Q3XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS037,MOV019,Sherly,Aishwarya Lekshmi,90s family function outfit,Retro Friday,Family,Medium,"Floral,Light colors","Cotton,Silk",Traditional jewelry,Classic 90s family wear,https://m.media-amazon.com/images/M/MV5BMTc2NjQ4ODM5NF5BMl5BanBnXkFtZTgwNzQ1MjM3MzE@._V1_.jpg
COS038,MOV020,Pinky,Vinayakan,Quirky 90s comedy character look,Retro Friday,Comedy,Easy,Bright colors,"Cotton,Polyester",Funny accessories,Bold comedic 90s styling,https://m.media-amazon.com/images/M/MV5BZTcxNTAzODUtNGUyZS00MGNlLWE2YWUtMzE1MzE0YjU1MzBjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS039,MOV003,Achootty,Thilakan,80s traditional elder wear,Retro Friday,Traditional,Medium,"White,Cream",Cotton,Traditional accessories,Respectful 80s elder styling,https://m.media-amazon.com/images/M/MV5BODgyODgzNjMtYWNmOC00OTcyLWE3ODYtMTA3NzE1YTBmODE2XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS040,MOV001,Kuttan,Dulquer Salmaan,2014 trendy casual wear,Movie Thursday,Modern Casual,Easy,"Blue,Grey","Cotton,Denim","Trendy sneakers,Watch",Contemporary youth casual styling,https://m.media-amazon.com/images/M/MV5BMjI3MzcxNzQ5Ml5BMl5BanBnXkFtZTgwMzE1NzE1NTE@._V1_.jpg
COS041,MOV002,George,Nivin Pauly,College professor casual look,Movie Thursday,Academic,Easy,"Checked shirt,Jeans",Cotton,"Glasses,Bag",Academic casual professional style,https://m.media-amazon.com/images/M/MV5BODg3MzYwMDUtYzQwZS00ZjhmLWJhYjMtNGM2OTNjOWJhNmJhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS042,MOV004,Paul,Lal,Restaurant owner business casual,Formal Wednesday,Business Casual,Medium,"White,Black","Cotton,Polyester","Watch,Shoes",Restaurant business owner styling,https://m.media-amazon.com/images/M/MV5BZjVkZGVmOTItMWZhMC00NTY0LTllZjYtOWRiMzdhNjRhZGM4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg
COS043,MOV005,Majeed,Samuel Abiola Robinson,Nigerian cultural fusion wear,Movie Thursday,Cultural,Medium,"Green,White,Orange","Cotton,Traditional fabric",Cultural accessories,Nigerian-Kerala cultural fusion,https://m.media-amazon.com/images/M/MV5BYzE4MTBiMzYtNjI1NS00MzQ5LTllNzEtNDk0ZGJmMzQ2ZTBjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS044,MOV006,Dr. Suresh,Revathi,Senior doctor formal attire,Formal Wednesday,Senior Professional,Hard,"Navy,White","Cotton,Silk",Professional accessories,Senior medical professional styling,https://m.media-amazon.com/images/M/MV5BN2E2NDAzODEtYmI2YS00NTY4LWI4YTYtNWJmMjFjN2E1YmVjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS045,MOV007,Nandini,Parvathy,90s family traditional wear,Wedding Tuesday,Traditional Family,Medium,"Red,Gold","Silk,Cotton",Traditional jewelry,Classic 90s family wedding styling,https://m.media-amazon.com/images/M/MV5BMjExMzQ4NjM5NV5BMl5BanBnXkFtZTgwNjQyNTY3MzE@._V1_.jpg
COS046,MOV021,Georgekutty,Mohanlal,Middle-class family father casual wear,Movie Thursday,Family Casual,Easy,"Checked shirt,Dark pants",Cotton,"Watch,Simple shoes",Relatable middle-class dad styling,https://m.media-amazon.com/images/M/MV5BMTY3MzU0MzQ2NF5BMl5BanBnXkFtZTgwNDQ0Mjc1MzE@._V1_.jpg
COS047,MOV022,Mahesh,Fahadh Faasil,Small town photographer casual look,Movie Thursday,Creative Casual,Medium,"Light colors,Denim","Cotton,Linen","Camera,Casual bag",Village photographer professional casual,https://m.media-amazon.com/images/M/MV5BNjI1MTQxMzQtZjdkNS00YjZjLWFkNzEtNGVmODU3NTJmY2NjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS048,MOV023,Gopal,Jayaram,90s comedy character bright outfit,Movie Thursday,Comedy Character,Easy,Bright patterns,"Cotton,Polyester",Comedy accessories,Bold 90s comedic styling,https://m.media-amazon.com/images/M/MV5BMjExMzQ4NjM5NV5BMl5BanBnXkFtZTgwNjQyNTY3MzE@._V1_.jpg
COS049,MOV024,Prasad,Suraj Venjaramoodu,Police constable uniform,Formal Wednesday,Law Enforcement,Medium,"Khaki,Brown",Cotton blend,"Badge,Belt,Cap",Professional police officer attire,https://m.media-amazon.com/images/M/MV5BNjMxMTgzNjY5NV5BMl5BanBnXkFtZTgwMDU1MzM2MzE@._V1_.jpg
COS050,MOV025,Vincent,Antony Varghese,Youth gang casual street wear,Movie Thursday,Street Style,Medium,"Dark colors,Denim","Cotton,Leather","Chain,Cap",Urban youth gang styling,https://m.media-amazon.com/images/M/MV5BNzE1NzI2NzY2N15BMl5BanBnXkFtZTgwNDU2MzM2MzE@._V1_.jpg
COS051,MOV026,Jessy,Anna Ben,Rural village traditional dress,Wedding Tuesday,Village Traditional,Easy,Earthy tones,"Cotton,Handloom",Simple jewelry,Authentic village girl styling,https://m.media-amazon.com/images/M/MV5BNzM1MjA2MjY2N15BMl5BanBnXkFtZTgwMTU2MzM2MzE@._V1_.jpg
COS052,MOV027,Jaison,Tovino Thomas,Superhero costume design,Movie Thursday,Superhero,Hard,"Red,Yellow,Blue","Spandex,Leather","Cape,Mask,Belt",Classic superhero styling,https://m.media-amazon.com/images/M/MV5BNjE2NzM2MjY2N15BMl5BanBnXkFtZTgwMzU2MzM2MzE@._V1_.jpg
COS053,MOV028,Joji,Fahadh Faasil,Modern family business casual,Formal Wednesday,Business Family,Medium,Neutral tones,Cotton blend,"Watch,Casual shoes",Contemporary family business look,https://m.media-amazon.com/images/M/MV5BNzY1MjE2MjY2N15BMl5BanBnXkFtZTgwNzU2MzM2MzE@._V1_.jpg
COS054,MOV029,Wife,Nimisha Sajayan,Traditional housewife daily wear,Movie Thursday,Daily Traditional,Easy,"Saree,Simple colors",Cotton,Minimal jewelry,Comfortable traditional daily wear,https://m.media-amazon.com/images/M/MV5BNzk1MjI2MjY2N15BMl5BanBnXkFtZTgwODU2MzM2MzE@._V1_.jpg
COS055,MOV030,Kuttachan,Chemban Vinod Jose,Village butcher work attire,Movie Thursday,Work Wear,Medium,"White,Khaki",Cotton,"Apron,Work tools",Practical village work styling,https://m.media-amazon.com/images/M/MV5BNjY1MzA2MjY2N15BMl5BanBnXkFtZTgwMDU3MzM2MzE@._V1_.jpg
COS056,MOV031,Jimmy,Roshan Mathew,Video call sports casual wear,Sports Monday,WFH Athletic,Easy,"Casual shirt,Jeans",Cotton,"Headphones,Laptop",Contemporary work-from-home casual styling,https://m.media-amazon.com/images/M/MV5BNzU1MjE2MjY2N15BMl5BanBnXkFtZTgwNTU2MzM2MzE@._V1_.jpg
COS057,MOV032,Mani,Mammootty,Police mission tactical wear,Formal Wednesday,Tactical,Hard,Dark tactical colors,Tactical fabric,"Gear,Belt,Boots",Professional police mission attire,https://m.media-amazon.com/images/M/MV5BNzI1MjA2MjY2N15BMl5BanBnXkFtZTgwOTU2MzM2MzE@._V1_.jpg
COS058,MOV033,Bhaskara Poduval,Suraj Venjaramoodu,Elderly care casual comfort wear,Movie Thursday,Elder Care,Easy,Comfortable colors,Soft cotton,"Reading glasses,Comfortable shoes",Senior-friendly comfortable styling,https://m.media-amazon.com/images/M/MV5BNzA1MjE2MjY2N15BMl5BanBnXkFtZTgwMjU3MzM2MzE@._V1_.jpg
COS059,MOV034,Vavachan,Chemban Vinod Jose,Coastal village casual wear,Sports Monday,Coastal Casual,Easy,Light colors,"Cotton,Linen",Simple accessories,Breezy coastal village styling,https://m.media-amazon.com/images/M/MV5BNzE1MzA2MjY2N15BMl5BanBnXkFtZTgwNjU3MzM2MzE@._V1_.jpg
COS060,MOV035,Joshua,Prithviraj Sukumaran,Travel adventure casual outfit,Sports Monday,Adventure Travel,Medium,Travel-friendly colors,"Cotton,Denim","Backpack,Travel accessories",Comfortable travel adventure styling,https://m.media-amazon.com/images/M/MV5BNzM1MzE2MjY2N15BMl5BanBnXkFtZTgwOTU3MzM2MzE@._V1_.jpg
COS061,MOV021,Rani,Meena,Middle-class mother traditional wear,Wedding Tuesday,Family Traditional,Medium,Traditional saree colors,"Cotton,Silk",Traditional jewelry,Classic mother's traditional styling,https://m.media-amazon.com/images/M/MV5BMTY3MzU0MzQ2NF5BMl5BanBnXkFtZTgwNDQ0Mjc1MzE@._V1_.jpg
COS062,MOV022,Soumya,Aparna Balamurali,Village girl modern casual look,Movie Thursday,Village Modern,Easy,Contemporary casual,Cotton,Modern accessories,Village girl with modern touch,https://m.media-amazon.com/images/M/MV5BNjI1MTQxMzQtZjdkNS00YjZjLWFkNzEtNGVmODU3NTJmY2NjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
COS063,MOV024,Sreeja,Nimisha Sajayan,Police wife supportive casual wear,Movie Thursday,Supportive Casual,Easy,Modest colors,Cotton,Simple jewelry,Police family supportive styling,https://m.media-amazon.com/images/M/MV5BNjMxMTgzNjY5NV5BMl5BanBnXkFtZTgwMDU1MzM2MzE@._V1_.jpg
COS064,MOV026,Roy,Shane Nigam,Urban youth casual styling,Movie Thursday,Urban Youth,Medium,Trendy colors,"Cotton,Denim",Modern accessories,Contemporary urban youth fashion,https://m.media-amazon.com/images/M/MV5BNzM1MjA2MjY2N15BMl5BanBnXkFtZTgwMTU2MzM2MzE@._V1_.jpg
COS065,MOV027,Usha,Guru Somasundaram,Village tailor work attire,Formal Wednesday,Artisan Work,Medium,Work-appropriate colors,Cotton,"Measuring tape,Scissors",Traditional tailor professional wear,https://m.media-amazon.com/images/M/MV5BNjE2NzM2MjY2N15BMl5BanBnXkFtZTgwMzU2MzM2MzE@._V1_.jpg
COS066,MOV028,Bincy,Unnimaya Prasad,Modern family daughter casual wear,Movie Thursday,Modern Family,Easy,Youthful colors,"Cotton,Denim",Casual accessories,Contemporary family daughter styling,https://m.media-amazon.com/images/M/MV5BNzY1MjE2MjY2N15BMl5BanBnXkFtZTgwNzU2MzM2MzE@._V1_.jpg
COS067,MOV029,Husband,Suraj Venjaramoodu,Traditional family patriarch formal,Formal Wednesday,Family Patriarch,Medium,Traditional formal colors,"Cotton,Silk",Traditional accessories,Respectful family head styling,https://m.media-amazon.com/images/M/MV5BNzk1MjI2MjY2N15BMl5BanBnXkFtZTgwODU2MzM2MzE@._V1_.jpg
COS068,MOV030,Antony,Antony Varghese,Village youth casual rebellion look,Movie Thursday,Rebellious Youth,Medium,Bold colors,"Cotton,Denim",Statement accessories,Village youth rebellion styling,https://m.media-amazon.com/images/M/MV5BNjY1MzA2MjY2N15BMl5BanBnXkFtZTgwMDU3MzM2MzE@._V1_.jpg
COS069,MOV031,Anu,Darshana Rajendran,Modern professional work wear,Formal Wednesday,Modern Professional,Hard,Professional colors,Formal fabrics,Professional accessories,Contemporary working woman styling,https://m.media-amazon.com/images/M/MV5BNzU1MjE2MjY2N15BMl5BanBnXkFtZTgwNTU2MzM2MzE@._V1_.jpg
COS070,MOV032,CP,Shine Tom Chacko,Police officer tactical uniform,Formal Wednesday,Police Officer,Hard,Official khaki,Uniform fabric,"Official badges,Belt",Senior police officer formal wear,https://m.media-amazon.com/images/M/MV5BNzI1MjA2MjY2N15BMl5BanBnXkFtZTgwOTU2MzM2MzE@._V1_.jpg
COS071,MOV033,Subhash,Soubin Shahir,Tech-savvy casual modern wear,Movie Thursday,Tech Casual,Easy,Modern casual colors,Cotton blend,Tech accessories,Technology-friendly casual styling,https://m.media-amazon.com/images/M/MV5BNzA1MjE2MjY2N15BMl5BanBnXkFtZTgwMjU3MzM2MzE@._V1_.jpg
COS072,MOV034,Eeshi,Pauly Valsan,Coastal fisherman work attire,Sports Monday,Fisherman Work,Medium,Sea-appropriate colors,Durable fabric,"Work tools,Hat",Practical coastal work styling,https://m.media-amazon.com/images/M/MV5BNzE1MzA2MjY2N15BMl5BanBnXkFtZTgwNjU3MzM2MzE@._V1_.jpg
COS073,MOV035,Jenny,Parvathy Thiruvothu,Sibling bonding casual travel wear,Sports Monday,Sibling Travel,Easy,Comfortable travel colors,"Cotton,Linen",Travel accessories,Sibling adventure casual styling,https://m.media-amazon.com/images/M/MV5BNzM1MzE2MjY2N15BMl5BanBnXkFtZTgwOTU3MzM2MzE@._V1_.jpg
COS074,MOV021,Anju,Ansiba Hassan,Teenage daughter casual school wear,Movie Thursday,Teen Casual,Easy,Youthful colors,Cotton,School accessories,Teenager school casual styling,https://m.media-amazon.com/images/M/MV5BMTY3MzU0MzQ2NF5BMl5BanBnXkFtZTgwNDQ0Mjc1MzE@._V1_.jpg
COS075,MOV023,Lakshmikutty,Kalpana,90s traditional mother wear,Retro Friday,90s Traditional,Medium,Traditional 90s colors,"Cotton,Silk",90s traditional jewelry,Classic 90s mother styling,https://m.media-amazon.com/images/M/MV5BMjExMzQ4NjM5NV5BMl5BanBnXkFtZTgwNjQyNTY3MzE@._V1_.jpg
COS076,MOV025,Appani,Vineeth Vishwam,Local market vendor casual wear,Movie Thursday,Market Vendor,Easy,Work-friendly colors,Cotton,Vendor accessories,Local market vendor styling,https://m.media-amazon.com/images/M/MV5BNzE1NzI2NzY2N15BMl5BanBnXkFtZTgwNDU2MzM2MzE@._V1_.jpg
COS077,MOV027,Shibu,Aju Varghese,Village friend supportive casual look,Movie Thursday,Village Friend,Easy,Friendly casual colors,Cotton,Simple accessories,Village friendship casual styling,https://m.media-amazon.com/images/M/MV5BNjE2NzM2MjY2N15BMl5BanBnXkFtZTgwMzU2MzM2MzE@._V1_.jpg
COS078,MOV029,Mother-in-law,Rajitha,Traditional elder formal wear,Wedding Tuesday,Elder Formal,Hard,Traditional elder colors,"Silk,Cotton",Traditional elder jewelry,Respectful traditional elder styling,https://m.media-amazon.com/images/M/MV5BNzk1MjI2MjY2N15BMl5BanBnXkFtZTgwODU2MzM2MzE@._V1_.jpg
COS079,MOV031,Kevin,Fahadh Faasil,Modern apartment casual wear,Movie Thursday,Apartment Casual,Medium,Modern casual colors,Cotton blend,Modern accessories,Contemporary apartment lifestyle styling,https://m.media-amazon.com/images/M/MV5BNzU1MjE2MjY2N15BMl5BanBnXkFtZTgwNTU2MzM2MzE@._V1_.jpg
