id,title,year,director,genre,era,description,poster_url
MOV038,Bheeshma Parvam,2022,Amal Neerad,Action,2020s,"Gangster family and traditional power styling",https://m.media-amazon.com/images/M/MV5BNzA1MzA2MjY2N15BMl5BanBnXkFtZTgwOTU4MzM2MzE@._V1_.jpg
MOV039,Hridayam,2022,Vineeth Sreenivasan,Romance,2020s,"College to career journey fashion evolution",https://m.media-amazon.com/images/M/MV5BNzM1MzI2MjY2N15BMl5BanBnXkFtZTgwMjU5MzM2MzE@._V1_.jpg
MOV040,Thallumaala,2022,Khalid Rahman,Action,2020s,"Youth action and colorful contemporary styling",https://m.media-amazon.com/images/M/MV5BNzE1MzI3MjY2N15BMl5BanBnXkFtZTgwNjU5MzM2MzE@._V1_.jpg
MOV041,RRR (Malayalam),2022,S.S. Rajamouli,Action,1920s,"Period action and British Raj era styling",https://m.media-amazon.com/images/M/MV5BNzQ1MzI4MjY2N15BMl5BanBnXkFtZTgwOTU5MzM2MzE@._V1_.jpg
MOV042,Jana Gana Mana,2022,Dijo Jose Antony,Thriller,2020s,"Legal thriller and court room formal wear",https://m.media-amazon.com/images/M/MV5BNzI1MzI5MjY2N15BMl5BanBnXkFtZTgwMTU6MzM2MzE@._V1_.jpg
MOV043,Nayattu,2021,Martin Prakkat,Thriller,2020s,"Police thriller and survival gear styling",https://m.media-amazon.com/images/M/MV5BNzA1MzI3MjY2N15BMl5BanBnXkFtZTgwNjU6MzM2MzE@._V1_.jpg
MOV044,Jai Bhim (Malayalam),2021,T.J. Gnanavel,Drama,1990s,"Social justice and 90s legal professional wear",https://m.media-amazon.com/images/M/MV5BNzM1MzI4MjY2N15BMl5BanBnXkFtZTgwOTU6MzM2MzE@._V1_.jpg
MOV045,Malik,2021,Mahesh Narayanan,Drama,Multiple,"Political spanning decades and cultural evolution",https://m.media-amazon.com/images/M/MV5BNzE1MzI5MjY2N15BMl5BanBnXkFtZTgwMTU7MzM2MzE@._V1_.jpg
MOV046,Kala,2021,Rohith V.S.,Thriller,2020s,"Rural thriller and village working class wear",https://m.media-amazon.com/images/M/MV5BNzQ1MzI6MjY2N15BMl5BanBnXkFtZTgwNjU7MzM2MzE@._V1_.jpg
MOV047,Home,2021,Rojin Thomas,Drama,2020s,"Family drama and domestic contemporary styling",https://m.media-amazon.com/images/M/MV5BNzI1MzI7MjY2N15BMl5BanBnXkFtZTgwOTU7MzM2MzE@._V1_.jpg
MOV048,Kurup,2021,Srinath Rajendran,Crime,1980s,"80s period crime and vintage fashion",https://m.media-amazon.com/images/M/MV5BNzA1MzI5MjY2N15BMl5BanBnXkFtZTgwMTU8MzM2MzE@._V1_.jpg
MOV049,Shantham,2000,Jayaraj,Drama,2000s,"Art house and minimalist styling",https://m.media-amazon.com/images/M/MV5BNzM1MzI6MjY2N15BMl5BanBnXkFtZTgwNjU8MzM2MzE@._V1_.jpg
MOV050,Perariyathavar,2014,Dr. Biju,Drama,2010s,"Social realism and working class wear",https://m.media-amazon.com/images/M/MV5BNzE1MzI7MjY2N15BMl5BanBnXkFtZTgwOTU8MzM2MzE@._V1_.jpg
MOV051,Thanmathra,2005,Blessy,Drama,2000s,"Middle-class family and medical condition styling",https://m.media-amazon.com/images/M/MV5BNzQ1MzI8MjY2N15BMl5BanBnXkFtZTgwMTU9MzM2MzE@._V1_.jpg
MOV052,Classmates,2006,Lal Jose,Drama,2000s,"College reunion and nostalgia fashion",https://m.media-amazon.com/images/M/MV5BNzI1MzI9MjY2N15BMl5BanBnXkFtZTgwNjU9MzM2MzE@._V1_.jpg
MOV053,Kadha Parayumbol,2007,M. Mohanan,Comedy,2000s,"Village barber and celebrity visit styling",https://m.media-amazon.com/images/M/MV5BNzA1MzI7MjY2N15BMl5BanBnXkFtZTgwOTU9MzM2MzE@._V1_.jpg
MOV054,Spirit,2012,Ranjith,Drama,2010s,"Alcoholism recovery and professional rehabilitation",https://m.media-amazon.com/images/M/MV5BNzM1MzI8MjY2N15BMl5BanBnXkFtZTgwMTVAMzM2MzE@._V1_.jpg
MOV055,Adaminte Makan Abu,2011,Salim Ahamed,Drama,2010s,"Elderly couple and simple village life styling",https://m.media-amazon.com/images/M/MV5BNzE1MzI9MjY2N15BMl5BanBnXkFtZTgwNjVAMzM2MzE@._V1_.jpg
MOV056,Mumbai Police,2013,Rosshan Andrrews,Thriller,2010s,"Urban police investigation and city styling",https://m.media-amazon.com/images/M/MV5BNzQ1MzJAMjY2N15BMl5BanBnXkFtZTgwOTVAMzM2MzE@._V1_.jpg
MOV057,How Old Are You,2014,Rosshan Andrrews,Drama,2010s,"Women empowerment and professional reinvention",https://m.media-amazon.com/images/M/MV5BNzI1MzJBMjY2N15BMl5BanBnXkFtZTgwMTVBMzM2MzE@._V1_.jpg
MOV058,Ennu Ninte Moideen,2015,R.S. Vimal,Romance,1960s,"60s period romance and traditional Kerala styling",https://m.media-amazon.com/images/M/MV5BNzA1MzI9MjY2N15BMl5BanBnXkFtZTgwNjVBMzM2MzE@._V1_.jpg
MOV059,Action Hero Biju,2016,Abrid Shine,Comedy,2010s,"Police comedy and everyday cop styling",https://m.media-amazon.com/images/M/MV5BNzM1MzJCMjY2N15BMl5BanBnXkFtZTgwOTVBMzM2MzE@._V1_.jpg
MOV060,Oppam,2016,Priyadarshan,Thriller,2010s,"Blind man mystery and contemporary casual wear",https://m.media-amazon.com/images/M/MV5BNzE1MzJDMjY2N15BMl5BanBnXkFtZTgwMTVCMzM2MzE@._V1_.jpg
MOV061,Baahubali,2015,S.S. Rajamouli,"Action,Historical",Ancient,"Epic period costumes and royal ancient wear",https://m.media-amazon.com/images/M/MV5BYTNlOGZhYzgtMmYwOS00ZGU4LWIxYzctYjg0MDY5MWEzNzMwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg
MOV062,KGF,2018,Prashanth Neel,Action,1970s,"70s period action and gold mining era styling",https://m.media-amazon.com/images/M/MV5BYjY2ZTNiY2YtMTViYy00ZjkzLWE3ODMtNDIzMTU1MGIzNzI4XkEyXkFqcGdeQXVyMTI1NDAzMzM0._V1_.jpg
MOV063,Arjun Reddy,2017,Sandeep Reddy Vanga,Drama,2010s,"Medical student rebellious and urban youth styling",https://m.media-amazon.com/images/M/MV5BNTgzOTg0MzU3N15BMl5BanBnXkFtZTgwMzY4NzY2MzI@._V1_.jpg
MOV064,Vikram Vedha,2017,Pushkar-Gayathri,Thriller,2010s,"Police thriller and gangster contemporary styling",https://m.media-amazon.com/images/M/MV5BNTNjNGQ1MDQtYzYwOC00YzRkLWI1MzQtMWRjMGFkMDI5MjIzXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV065,96,2018,C. Prem Kumar,Romance,1990s-2010s,"90s school nostalgia and contemporary styling",https://m.media-amazon.com/images/M/MV5BNmQ2N2JlN2MtNzU5My00YzdiLWJhOWEtODkwM2VjZGY5YzdhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV066,Super Deluxe,2019,Thiagarajan Kumararaja,Drama,2010s,"Urban contemporary and diverse character styling",https://m.media-amazon.com/images/M/MV5BMTYzODQ0MjE5NV5BMl5BanBnXkFtZTgwMTQ1MjI5NzM@._V1_.jpg
MOV067,Pushpa,2021,Sukumar,Action,2010s,"Rural smuggler and forest action styling",https://m.media-amazon.com/images/M/MV5BNTYzOTYzNDY4MV5BMl5BanBnXkFtZTgwNzk1MjI5NzM@._V1_.jpg
MOV068,RRR,2022,S.S. Rajamouli,"Action,Historical",1920s,"British Raj revolutionary period styling",https://m.media-amazon.com/images/M/MV5BODUwNDNjYzctODUxNy00ZTA2LWIyYTEtMDc5Y2E5ZjBmNTMzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg
MOV069,Jersey,2019,Gowtam Tinnanuri,Sports,2010s,"Cricket sports and middle-aged comeback styling",https://m.media-amazon.com/images/M/MV5BNjcyYzQyMTI0NV5BMl5BanBnXkFtZTgwODk1MjI5NzM@._V1_.jpg
MOV070,Ala Vaikunthapurramuloo,2020,Trivikram Srinivas,Drama,2010s,"Family drama and contemporary festive styling",https://m.media-amazon.com/images/M/MV5BYmU1MTdlZjYtOWNmNC00NTAyLTg5MzMtNmUxNjQ1OTUxNzlkXkEyXkFqcGdeQXVyMTE0NzQwNjk1._V1_.jpg
MOV071,Master,2021,Lokesh Kanagaraj,Action,2010s,"Professor action and youth gang styling",https://m.media-amazon.com/images/M/MV5BOWVhM2VhOGYtNDZmYy00NGQ3LTlhYTctZGFmMmRiNGNjMjdkXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV072,Kaithi,2019,Lokesh Kanagaraj,Action,2010s,"Prison break action and police tactical styling",https://m.media-amazon.com/images/M/MV5BNTg1NDY3NjUyNV5BMl5BanBnXkFtZTgwNjAxMjI5NzM@._V1_.jpg
MOV073,Asuran,2019,Vetrimaaran,Drama,2010s,"Rural caste conflict and village styling",https://m.media-amazon.com/images/M/MV5BZjA1YThhYTctNzZkMC00MTM0LTg2MDctM2I2YzEzODQ5NTFkXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV074,Soorarai Pottru,2020,Sudha Kongara,Biography,2010s,"Aviation entrepreneur and business styling",https://m.media-amazon.com/images/M/MV5BODMzNzYxMDgtNGVhNy00YWQ2LWIwYjMtZTg0OGNhODI5NWM3XkEyXkFqcGdeQXVyMTA3MDk2NDg2._V1_.jpg
MOV075,Karnan,2021,Mari Selvaraj,Drama,2010s,"Rural protest and traditional village styling",https://m.media-amazon.com/images/M/MV5BZjQ3ZjViYWUtODEyMy00NmFjLWI5MzEtOGU2MTFiZGIyMWJjXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_.jpg
MOV076,The Avengers,2012,Joss Whedon,"Action,Superhero",2010s,"Superhero team and modern action styling",https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
MOV077,Black Panther,2018,Ryan Coogler,"Action,Superhero",2010s,"Afrofuturism and royal African styling",https://m.media-amazon.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_.jpg
MOV078,Wonder Woman,2017,Patty Jenkins,"Action,Superhero",WWI Era,"WWI period and Amazonian warrior styling",https://m.media-amazon.com/images/M/MV5BMTYzODQzYjQtNTczNC00MzZhLTg1ZWYtZDUxYmQ3ZTY4NzA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg
MOV079,La La Land,2016,Damien Chazelle,Musical,2010s,"Vintage Hollywood and contemporary romance styling",https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_.jpg
MOV080,The Great Gatsby,2013,Baz Luhrmann,Drama,1920s,"Roaring 20s fashion and Art Deco styling",https://m.media-amazon.com/images/M/MV5BMTkxNTk1ODcxNl5BMl5BanBnXkFtZTcwMDI1OTMzOQ@@._V1_.jpg
MOV081,Emily in Paris TV,2020,Darren Star,Comedy,2020s,"Parisian fashion and social media styling",https://m.media-amazon.com/images/M/MV5BM2Q5YjM3ZmYtNDk2Yi00NDNmLWE5YzEtY2NiMGZkZjAzOTUxXkEyXkFqcGdeQXVyMTM1NjM2ODU1._V1_.jpg
MOV082,Bridgerton TV,2020,Chris Van Dusen,Period Drama,Regency Era,"Regency period and British aristocracy styling",https://m.media-amazon.com/images/M/MV5BN2FmMjM1OTEtOWQ0YS00MzYwLWE2YmItZGMzZTZlMjFkYWJhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_.jpg
MOV083,The Crown TV,2016,Peter Morgan,Biography,1940s-1990s,"British royal fashion across decades",https://m.media-amazon.com/images/M/MV5BZmY0MzBlNjMtZTc0OC00ZGUyLTk5ZTMtNjgxNjg5Nzk5ZTVhXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_.jpg
MOV084,Euphoria TV,2019,Sam Levinson,Drama,2020s,"Gen Z fashion and contemporary teen styling",https://m.media-amazon.com/images/M/MV5BNzQ0NzUzNjYyOV5BMl5BanBnXkFtZTgwMDcwNTAwODE@._V1_.jpg
MOV085,Stranger Things TV,2016,The Duffer Brothers,Sci-Fi,1980s,"80s nostalgia and retro teenager styling",https://m.media-amazon.com/images/M/MV5BN2ZmYjg1YmItNWQ4OC00YWM0LWE0ZDktYThjOTZiZjhhN2Q2XkEyXkFqcGdeQXVyNjgxNTQ3Mjk@._V1_.jpg
MOV086,Sex and the City TV,1998,Darren Star,Comedy,1990s-2000s,"NYC fashion and professional woman styling",https://m.media-amazon.com/images/M/MV5BNGUyYWI3NmQtMGJkZC00NGNhLWE0NWEtZTVlYjkzNDk0NGQ1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg
MOV087,Friends TV,1994,David Crane,Comedy,1990s-2000s,"90s casual and NYC young adult styling",https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg
MOV088,Gossip Girl TV,2007,Josh Schwartz,Teen Drama,2000s,"Upper East Side luxury and prep school styling",https://m.media-amazon.com/images/M/MV5BMTQ5OTY1ODY0NF5BMl5BanBnXkFtZTcwNzA3OTc5Mg@@._V1_.jpg
MOV089,Mad Men TV,2007,Matthew Weiner,Period Drama,1960s,"Madison Avenue and 60s professional styling",https://m.media-amazon.com/images/M/MV5BNTcyNzQ3OTI5NV5BMl5BanBnXkFtZTcwNjU3NjQ5Nw@@._V1_.jpg
MOV090,The Devil Wears Prada,2006,David Frankel,Comedy,2000s,"Fashion industry and haute couture styling",https://m.media-amazon.com/images/M/MV5BYjQ0NzAzYmUtODEzMS00ZGE5LWI1NGEtOTUwZDNjZGJjOTU5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg
